#Lambda	Flux(Jy)
9.364	0.14981
9.365	0.15212
9.366	0.15449
9.367	0.15692
9.368	0.15938
9.369	0.16188
9.370	0.16438
9.371	0.16690
9.372	0.16941
9.373	0.17193
9.374	0.17449
9.375	0.17707
9.376	0.17967
9.377	0.18227
9.378	0.18487
9.379	0.18744
9.380	0.19000
9.381	0.19251
9.382	0.19500
9.383	0.19749
9.384	0.19996
9.385	0.20242
9.386	0.20485
9.387	0.20726
9.388	0.20963
9.389	0.21196
9.390	0.21425
9.391	0.21650
9.392	0.21870
9.393	0.22088
9.394	0.22302
9.395	0.22514
9.396	0.22722
9.397	0.22929
9.398	0.23133
9.399	0.23335
9.400	0.23534
9.401	0.23729
9.402	0.23921
9.403	0.24111
9.404	0.24300
9.405	0.24488
9.406	0.24676
9.407	0.24865
9.408	0.25054
9.409	0.25240
9.410	0.25425
9.411	0.25608
9.412	0.25792
9.413	0.25978
9.414	0.26166
9.415	0.26358
9.416	0.26554
9.417	0.26755
9.418	0.26957
9.419	0.27161
9.420	0.27368
9.421	0.27578
9.422	0.27792
9.423	0.28011
9.424	0.28235
9.425	0.28465
9.426	0.28700
9.427	0.28939
9.428	0.29182
9.429	0.29430
9.430	0.29683
9.431	0.29941
9.432	0.30205
9.433	0.30475
9.434	0.30752
9.435	0.31036
9.436	0.31326
9.437	0.31623
9.438	0.31925
9.439	0.32233
9.440	0.32546
9.441	0.32864
9.442	0.33186
9.443	0.33512
9.444	0.33842
9.445	0.34179
9.446	0.34520
9.447	0.34865
9.448	0.35215
9.449	0.35570
9.450	0.35928
9.451	0.36290
9.452	0.36655
9.453	0.37025
9.454	0.37399
9.455	0.37776
9.456	0.38158
9.457	0.38543
9.458	0.38932
9.459	0.39325
9.460	0.39720
9.461	0.40118
9.462	0.40519
9.463	0.40922
9.464	0.41328
9.465	0.41738
9.466	0.42152
9.467	0.42570
9.468	0.42994
9.469	0.43423
9.470	0.43859
9.471	0.44299
9.472	0.44744
9.473	0.45193
9.474	0.45648
9.475	0.46108
9.476	0.46574
9.477	0.47046
9.478	0.47525
9.479	0.48010
9.480	0.48500
9.481	0.48995
9.482	0.49496
9.483	0.50003
9.484	0.50517
9.485	0.51038
9.486	0.51568
9.487	0.52106
9.488	0.52652
9.489	0.53209
9.490	0.53774
9.491	0.54347
9.492	0.54928
9.493	0.55515
9.494	0.56109
9.495	0.56709
9.496	0.57314
9.497	0.57924
9.498	0.58539
9.499	0.59161
