FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.681	-0.03542
2.682	0.02138
2.683	0.08512
2.684	-0.00726
2.685	-0.01792
2.686	0.11219
2.687	0.04343
2.688	0.06410
2.689	0.19097
2.690	0.12991
2.691	0.05078
2.692	-0.01501
2.693	0.02951
2.694	0.15146
2.695	0.07677
2.696	0.08553
2.697	0.09566
2.698	0.09989
2.699	0.05376
2.700	0.06975
2.701	0.11914
2.702	0.09775
2.703	0.04400
2.704	-0.04426
2.705	-0.02943
2.706	0.00792
2.707	0.01682
2.708	0.02313
2.709	0.05414
2.710	0.05213
2.711	0.01935
2.712	0.03384
2.713	-0.00313
2.714	0.04148
2.715	0.10267
2.716	0.07001
2.717	-0.03339
2.718	-0.03634
2.719	-0.00945
2.720	-0.06592
2.721	-0.15838
2.722	0.03649
2.723	0.07697
2.724	0.16765
2.725	0.25317
2.726	0.14660
2.727	0.09882
2.728	0.07759
2.729	0.08348
2.730	0.12469
2.731	0.09004
2.732	0.03066
2.733	0.03104
2.734	0.09519
2.735	0.11801
2.736	0.06843
2.737	0.10714
2.738	0.08872
2.739	0.18481
2.740	0.44027
2.741	-0.03068
2.742	-0.26665
2.743	-0.10900
2.744	-0.03938
2.745	0.00107
2.746	0.00796
2.747	0.03298
2.748	0.02241
2.749	0.01290
2.750	0.00925
2.751	0.00369
2.752	-0.07164
2.753	-0.08335
2.754	0.00138
2.755	0.04069
2.756	0.09718
2.757	0.11835
